response,contrast,block
no,0,drug
no,1,drug
no,0.5,drug
yes,2.5,drug
no,2.5,drug
no,3,drug
yes,4,drug
yes,4,drug
yes,3,drug
yes,2.5,drug
yes,3,drug
no,1,drug
yes,2,drug
no,1.5,drug
no,3,drug
yes,4,drug
no,1,drug
no,0.5,drug
no,2.5,drug
yes,4,drug
no,1.5,drug
no,1,drug
no,0,drug
yes,3,drug
yes,3,drug
yes,2.5,drug
yes,3.5,drug
yes,2,drug
no,0.5,drug
no,1,drug
no,1.5,drug
yes,2.5,drug
yes,2,drug
yes,4,drug
no,1,drug
yes,3.5,drug
yes,2.5,drug
yes,4,drug
yes,4,drug
no,0,drug
no,2,drug
yes,1,drug
yes,4,drug
no,1.5,drug
no,2,drug
yes,3.5,drug
yes,2,drug
yes,4,drug
no,3,drug
no,2,drug
yes,4,drug
yes,2.5,drug
yes,2,drug
no,0,drug
no,0.5,drug
yes,3,drug
yes,1.5,drug
yes,2.5,drug
yes,3,drug
no,0,drug
yes,3.5,drug
yes,3,drug
yes,3,drug
yes,1,drug
no,0.5,drug
yes,3.5,drug
no,0.5,drug
no,0.5,drug
no,1.5,drug
yes,2.5,drug
yes,2,drug
no,1,drug
yes,2.5,drug
yes,3.5,drug
yes,2.5,drug
no,0.5,drug
yes,3.5,drug
no,0,drug
yes,4,drug
yes,4,drug
yes,3,drug
no,2,drug
yes,4,drug
no,0,drug
yes,1.5,drug
no,1.5,drug
no,2,drug
no,1.5,drug
yes,2,drug
yes,3.5,drug
no,1.5,drug
no,1.5,drug
no,0,drug
yes,4,drug
no,0,drug
yes,4,drug
no,0.5,drug
no,2,drug
yes,3,drug
no,0,drug
no,1.5,drug
yes,4,drug
yes,3,drug
no,0,drug
yes,3.5,drug
no,0,drug
yes,3.5,drug
yes,3,drug
yes,3,drug
no,1,drug
yes,2.5,drug
no,1,drug
yes,2,drug
yes,2,drug
no,0.5,drug
yes,3.5,drug
no,0.5,drug
no,0.5,drug
no,0,drug
yes,3.5,drug
no,1.5,drug
no,0,drug
yes,3,drug
yes,3.5,drug
no,0.5,drug
yes,2.5,drug
no,0.5,drug
no,0,drug
no,2,drug
yes,2.5,drug
yes,3.5,drug
yes,2,drug
yes,4,drug
no,0.5,drug
no,0,drug
yes,4,drug
yes,2,drug
yes,4,drug
no,0,drug
no,0.5,drug
no,0,drug
yes,3.5,drug
yes,2,drug
no,1,drug
no,0,drug
yes,2.5,drug
no,0.5,drug
no,1.5,drug
no,1,drug
no,0,drug
yes,2.5,drug
no,1,drug
no,1.5,drug
yes,1.5,drug
no,1,drug
no,1.5,drug
yes,3.5,drug
yes,3,drug
yes,3.5,drug
no,1,drug
no,1,drug
yes,3,drug
yes,3.5,drug
no,1.5,drug
yes,3,drug
no,2.5,drug
no,0.5,drug
no,0.5,drug
no,1,drug
yes,3.5,drug
yes,2.5,drug
yes,3.5,drug
no,1.5,drug
no,1,drug
no,0.5,drug
yes,2,drug
yes,2.5,drug
no,1,drug
yes,4,drug
yes,1.5,drug
yes,4,placebo
no,2,placebo
yes,4,placebo
no,0.5,placebo
no,0.5,placebo
no,0,placebo
yes,4,placebo
no,1.5,placebo
no,2,placebo
yes,3,placebo
yes,3.5,placebo
no,1.5,placebo
yes,3,placebo
no,1,placebo
no,1.5,placebo
no,0.5,placebo
no,1,placebo
no,1.5,placebo
no,1.5,placebo
yes,3,placebo
no,0,placebo
no,2,placebo
no,2.5,placebo
no,0,placebo
no,2,placebo
no,1,placebo
yes,3.5,placebo
yes,3,placebo
yes,4,placebo
no,0,placebo
yes,4,placebo
no,2,placebo
yes,3,placebo
no,1,placebo
no,1.5,placebo
yes,4,placebo
no,2.5,placebo
yes,4,placebo
